,dxv,cur_sl_pl,stop_loss,tot_price_pl,triggered,invested,active,cur_price_pl,enter_price,tot_sl_pl
231,64.0,,6464.0,,False,,True,,6400.0,
232,64.0,,6464.0,,False,,True,,6400.0,
233,64.0,,6464.0,,False,,True,,6400.0,
234,64.0,,6464.0,,False,,True,,6400.0,
235,64.0,,6464.0,,False,,True,,6400.0,
236,64.0,,6314.0,,False,,True,,6400.0,
237,64.0,,6314.0,,False,,True,,6400.0,
238,64.0,,6314.0,,False,,True,,6400.0,
239,64.0,,6314.0,,True,,True,,6400.0,
240,,,,,False,,False,,,
241,,,,,False,,False,,,
242,,,,,False,,False,,,
243,,,,,False,,False,,,
244,,,,,False,,False,,,
245,,,,,False,,False,,,
246,,,,,False,,False,,,
247,,,,,False,,False,,,
248,,,,,False,,False,,,
249,,,,,False,,False,,,
250,67.25,,6792.25,,False,,True,,6725.0,
251,67.25,,6749.25,,False,,True,,6725.0,
252,67.25,,6713.40145318,,False,,True,,6725.0,
253,67.25,,6713.40145318,,False,,True,,6725.0,
254,67.25,,6713.40145318,,False,,True,,6725.0,
255,67.25,,6713.40145318,,False,,True,,6725.0,
256,67.25,,6532.25,,False,,True,,6725.0,
257,67.25,,6513.57991951,,False,,True,,6725.0,
258,67.25,,6502.499819600001,,False,,True,,6725.0,
259,67.25,,6437.41206931,,False,,True,,6725.0,
260,67.25,,6422.01760181,,False,,True,,6725.0,
261,67.25,,6422.01760181,,False,,True,,6725.0,
262,67.25,,6422.01760181,,False,,True,,6725.0,
263,67.25,,6422.01760181,,True,,True,,6725.0,
264,,,,,False,,False,,,
265,,,,,False,,False,,,
266,,,,,False,,False,,,
267,,,,,False,,False,,,
268,,,,,False,,False,,,
269,,,,,False,,False,,,
270,,,,,False,,False,,,
271,,,,,False,,False,,,
272,,,,,False,,False,,,
273,,,,,False,,False,,,
274,,,,,False,,False,,,
275,,,,,False,,False,,,
276,,,,,False,,False,,,
277,,,,,False,,False,,,
278,,,,,False,,False,,,
279,,,,,False,,False,,,
280,,,,,False,,False,,,
